Date,Time,Open,Max,Min,Closure,Volume
2014.05.30,00:00,1.3602,1.3649,1.3598,1.3633,5040
2014.06.02,00:00,1.3631,1.3635,1.3587,1.3597,5291
2014.06.03,00:00,1.3596,1.3647,1.3586,1.3627,5194
2014.06.04,00:00,1.3626,1.3638,1.3596,1.3599,4829
2014.06.05,00:00,1.3600,1.3669,1.3502,1.3662,11055
2014.06.06,00:00,1.3663,1.3676,1.3620,1.3643,6478
2014.06.09,00:00,1.3646,1.3668,1.3582,1.3592,4224
2014.06.10,00:00,1.3591,1.3601,1.3533,1.3544,5167
2014.06.11,00:00,1.3545,1.3556,1.3521,1.3533,5334
2014.06.12,00:00,1.3532,1.3571,1.3511,1.3549,5556
2014.06.13,00:00,1.3550,1.3578,1.3520,1.3541,5773
2014.06.16,00:00,1.3537,1.3579,1.3512,1.3572,5078
2014.06.17,00:00,1.3571,1.3586,1.3535,1.3546,4352
2014.06.18,00:00,1.3545,1.3599,1.3541,1.3587,6556
2014.06.19,00:00,1.3586,1.3643,1.3583,1.3606,5336
2014.06.20,00:00,1.3605,1.3633,1.3563,1.3599,4319
2014.06.23,00:00,1.3594,1.3613,1.3573,1.3603,4744
2014.06.24,00:00,1.3602,1.3627,1.3582,1.3602,4590
2014.06.25,00:00,1.3603,1.3650,1.3600,1.3630,4269
2014.06.26,00:00,1.3629,1.3640,1.3575,1.3611,4926
2014.06.27,00:00,1.3612,1.3650,1.3609,1.3649,4274
2014.06.30,00:00,1.3644,1.3697,1.3639,1.3692,4764
2014.07.01,00:00,1.3693,1.3700,1.3675,1.3678,4775
2014.07.02,00:00,1.3679,1.3682,1.3642,1.3656,3836
2014.07.03,00:00,1.3657,1.3663,1.3595,1.3608,5251
2014.07.04,00:00,1.3609,1.3610,1.3585,1.3594,2379
2014.07.07,00:00,1.3592,1.3608,1.3575,1.3605,3038
2014.07.08,00:00,1.3606,1.3616,1.3587,1.3611,3098
2014.07.09,00:00,1.3612,1.3647,1.3601,1.3640,4510
2014.07.10,00:00,1.3639,1.3650,1.3588,1.3606,4813
2014.07.11,00:00,1.3607,1.3624,1.3591,1.3606,3873
2014.07.14,00:00,1.3604,1.3639,1.3597,1.3620,3613
2014.07.15,00:00,1.3619,1.3627,1.3561,1.3567,5402
2014.07.16,00:00,1.3568,1.3571,1.3520,1.3525,3601
2014.07.17,00:00,1.3524,1.3540,1.3516,1.3526,3921
2014.07.18,00:00,1.3525,1.3535,1.3490,1.3524,4426
2014.07.21,00:00,1.3527,1.3548,1.3512,1.3522,3397
